index;sex;age;age2;age3;carb;fat;protein;sodium;physicalactivity;energyintake;weight;height
158;Male;78;6084;474552;369,94478;76,2678183;61,56148282;3036,621941;1,6;2412,435416;60,47134212;164,5644458
160;Male;79;6241;493039;368,0590476;75,89464913;61,23014322;3021,534019;1,6;2400,208606;60,47134212;164,5644458
162;Male;80;6400;512000;366,5394648;75,51637783;60,90599585;3006,466777;1,6;2389,429243;60,47134212;164,5644458
164;Male;81;6561;531441;365,602234;75,2177759;60,65927615;2991,532053;1,6;2382,006024;60,47134212;164,5644458
166;Male;82;6724;551368;365,2713439;75,03690164;60,53731014;2976,610156;1,6;2378,566731;60,47134212;164,5644458
168;Male;83;6889;571787;365,3094489;74,92943221;60,52813265;2961,717146;1,6;2377,715216;60,47134212;164,5644458
170;Male;84;7056;592704;365,3073847;74,76290918;60,55375436;2947,169725;1,6;2376,310739;60,47134212;164,5644458
172;Male;85;7225;614125;364,9035214;74,35345206;60,50497957;2933,433905;1,6;2370,815072;60,47134212;164,5644458
174;Male;86;7396;636056;363,9878645;73,53977448;60,29967711;2920,815081;1,6;2359,008137;60,47134212;164,5644458
176;Male;87;7569;658503;362,6906153;72,27180362;59,92352269;2909,213042;1,6;2340,902785;60,47134212;164,5644458
178;Male;88;7744;681472;361,1313422;70,66711955;59,42378871;2898,207804;1,6;2318,2246;60,47134212;164,5644458
180;Male;89;7921;704969;359,1388971;68,99998009;58,86426257;2887,548373;1,6;2293,01246;60,47134212;164,5644458
182;Male;90;8100;729000;356,2901875;67,62641515;58,29022457;2878,078955;1,6;2266,959385;60,47134212;164,5644458
184;Male;91;8281;753571;352,3473288;66,88081585;57,7380043;2872,265806;1,6;2242,268675;60,47134212;164,5644458
186;Male;92;8464;778688;347,770202;66,97132325;57,27595451;2873,265366;1,6;2222,926535;60,47134212;164,5644458
188;Male;93;8649;804357;343,7586043;67,88190807;57,01510608;2881,806378;1,6;2214,032014;60,47134212;164,5644458
190;Male;94;8836;830584;341,6342357;69,30781202;57,05590351;2892,547944;1,6;2218,530865;60,47134212;164,5644458
192;Male;95;9025;857375;341,9624147;70,69314882;57,40299043;2893,229305;1,6;2233,69996;60,47134212;164,5644458
194;Male;96;9216;884736;344,1364188;71,42559395;57,93089103;2869,493804;1,6;2251,099585;60,47134212;164,5644458
196;Male;97;9409;912673;346,7926815;71,13921054;58,44408477;2814,157609;1,6;2261,19996;60,47134212;164,5644458
198;Male;98;9604;941192;348,7292582;69,95196034;58,79253451;2735,281921;1,6;2259,654814;60,47134212;164,5644458
200;Male;99;9801;970299;349,5823414;68,45925831;58,94896015;2656,432209;1,6;2250,258531;60,47134212;164,5644458
200;Male;100;10000;1000000;349,7550516;67,44164807;58,98746098;2606,926977;1,6;2241,944883;60,47134212;164,5644458
